peribahasa,maksud,penjelasan,contohAyat
air besar sampan tak hanyut,Maksud yang tidak tercapai.,"Air besar atau air pasang biasanya mempunyai arus yang kuat. Dengan arus yang sebegini sepatutnya sampan dapat dihanyutkan. Malangnya meskipun air besar, namun sampan tetap tidak hanyut.","Nazri berharap dengan menjual beberapa bidang tanah dia dapat membesarkan perniagaannya, namun harapannya musnah kerana perniagaannya lingkup akibat kegawatan ekonomi yang melanda negara, air besar sampan tak hanyut."
"air dalam karang menonggok, setanggi campur kemenyan, gula tertumpah pada kanji",Usaha yang berhasil baik.,"Di kawasan air dalam, karang menonggok atau berlonggok. Hal ini memudahkan kapal untuk melalui kawasan itu sebabkarang yang berlonggok nyata kelihatan berbanding dengan karang yang bertaburan. Setanggi ialah sejenis kemenyan yang berbau harum apabila dibakar. Kalau kedua-duanya dicampur, tentu bertambah harum semerbak. Gula pula, sekiranya tertumpah ke dalam kanji tentu makanan tersebut semakin enak jika dimakan.","Sebagaimana yang diharapkan, semua anak Haji Abidin berjaya dalam pelajaran dan mendapat kerja yang baik-baik, air dalam karang menonggok, setanggi campur kemenyan, gula tertumpah pada kanji."
air dalam terenang,Hidup yang tenang dan tenteram.,"Terenang ialah sejenis kendi air yang bertutup dan diperbuat daripada tanah liat. Air di dalam terenang itu tentu tidak akan berkocak kalau terenang itu tidak digoncang. Oleh itu, air di dalamnya tenang.","Setelah sekian lama rakyat Kelantan hidup dalam aman bagai air dalam terenang, datanglah angkatan Siam menyerang dan menawan Puteri Saadung untuk dijadikan isteri raja mereka."
air dicencang tiada putus,Hubungan adik-beradik atau saudara-mara tidak akan dapat dirosakkan atau diputuskan dengan mudah.,Air yang mengalir atau yang tergenang kalau dicencang atau dikerat dengan pelbagai jenis senjata sekalipun tidak akan putus. Air itu akan terus mengalir atau tergenang di situ tanpa cacat celanya.,"Meskipun kedua-dua beradik itu mempunyai pendapat yang berbeza, namun perselisihan faham antara mereka tidak membawa perbalahan yang lama kerana air dicencang tiada putus."
"air di cucuran atap, jatuhnya di pelimbahan juga","Seorang anak, walaupun dilahikan bersih lama-lama akan mengikut perilaku ibu bapa ata asal keturunannya.","Air hujan yang jatuh di bumbung rumah akan mengalir di cucuran atap terlebih dahulu. Air ini berada di tempat yang tinggi dan bersih. Walau bagaimanapun, akhirnya air yang bersih itu akan jatuh ke pelimbangan atau tempat takungan air yang kotor sebagaimana air yang lain juga.","Walaupun anak Abang Megat pada waktu kecilnya baik, namun apabila besar telah mengikut jejak langkah bapa mereka yang suka berjudi, air di cucuran atap, jatuhnya di pelimbangan juga."
air didih menganak sungai,Hiburan atau rezeki yang melimpah-limpah.,Air didih ialah air yang sedang mendidih. Air yang sedang mendidih akan melimpah dari periuk jika terlalu banyak. Air didih menganak sungai ialah air yang mengalir seperti anak sungai kerana sangat banyak. Keadaan ini berlaku dalam majlis yang diadakan oleh raja-raja zaman dahulu sewaktu mengadakan pesta dan memanggil rakyat jelata untuk bersuka-sukaan.,Kemakmuran negeri Kelantan pada masa pemerintahan Cik Siti Wan Kembang sudah termasyhur sehingga air didih menganak sungai.
air digenggam tak tiris,Orang yang sangat kikir atau kedekut.,"Kebiasaannya jari-jemari manusia hanya mampu menggenggam benda-benda yang kasar atau berbentuk pepejal. Walau bagaimanapun, jika air dapat digenggam, hal itu menunjukkan jari-jemari orang tersebut sangat rapat. Kalau air yang digenggam tidak tiris atau bocor, benda pejal yang lain tentu lebih lagi.",Meminta derma untuk membina rumah anak-anak yatim daripada orang kaya itu merupakan perbuatan yang sia-sia kerana dia itu air digenggam tak tiris.
"air diminum rasa duri, nasi dimakan rasa sekam",Orang yang berdukacita atau susah hati sehingga tidak lalu makan.,Air jika diminum akan melegakan kehausan tekak manakala makanan yang dimakan terasa enak dan menghilangkan lapar. Namun apabila air dirasakan tajam dan menyakitkan seperti duri dan nasi dirasakan seperti sekam padi menunjukkan bahawa kedua-duanya tidak memuaskan orang yang makan dan minum itu.,"Sejak kehilangan anak gadisnya yang lari mengikut teman lelaki, Mak Tom sering termenung dan air diminum rasa duri, nasi dimakan rasa sekam."
air diminum sembiluan,Sangat sedih sehingga tidak enak makan dan minum.,Sembilu ialah kulit buluh yang sangat tajam. Air minuman dikatakan terasa sembiluan atau rasa tajam seperti sembilu.,Shahabudin merasakn air diminum sembiluan selepas kedua-dua orang anaknya disahkan menghidap penyakit leukemia oleh doktor.
air gedang menghanyutkan,Orang yang berilmu dapat melakukan pekerjaan yang besar-besar.,Gedang bermaksud besar. Air yang besar atau air pasang mempunyai arus yang kuat. Arus ini dapat menghanyutkan apa-apa sahaja.,Profesor Hamid diberikan tugas penting kerana ketuanya tahu bahawa beliau mampu menyiapkan kerja yang tidak terbuat oleh orang lain. Begitulah air gedang menghanyutkan.
